index	model	objective_value	target
0	RECON1.xml.gz	0.0	+1.0 S6T14g
1	Recon3D.xml.gz	755.0032155506631	+1.0 BIOMASS_maintenance
2	STM_v1_0.xml.gz	0.4778336607607233	+1.0 BIOMASS_iRR1083_metals
3	e_coli_core.xml.gz	0.8739215069684307	+1.0 BIOMASS_Ecoli_core_w_GAM
4	iAB_RBC_283.xml.gz	2.935561466666666	+1.0 NaKt
5	iAF1260.xml.gz	0.7367009388648835	+1.0 BIOMASS_Ec_iAF1260_core_59p81M
6	iAF1260b.xml.gz	0.7367009388648788	+1.0 BIOMASS_Ec_iAF1260_core_59p81M
7	iAF692.xml.gz	0.026780467547180865	+1.0 BIOMASS_Mb_30
8	iAF987.xml.gz	0.047322376056136164	--0.0309684165223924 EX_glyc_e--0.0276739041263934 NPPDO--0.0270150016471933 EAR141y--0.00658902479199843 APH160--0.159783851205962 NTPTP1--0.394023682561503 PS161abcpp--0.032945123959992 EX_bzal_e--0.00658902479199847 EAR160y--0.0319567702411921 EX_etoh_e--0.011860244625597 EX_phenol_e--0.0158136595007962 ROO--0.00197670743759953 AGM3PApp--0.239511051189144 BWCOS--0.0329451239599916 EAR140x+8.23993651088983e-18 GLCP--3.05311331771918e-16 ACKr--0.229627514001145 MAN1PT--0.12585037352717 CPH4S--5.55111512312578e-17 OIVD3--0.0912579933691785 EX_gua_e--5.55111512312578e-17 G3PD--0.00658902479199844 LCYSTabcpp--0.0263560991679934 EX_but_e--0.0046123173543989 PE141abcpp--0.00593012231279877 EX_no2_e--2.77555756156289e-17 HMPK2--0.00395341487519907 MLDEP2pp--0.0375574413143905 EX_tol_e--0.00593012231279867 NO3R2pp+5.63785129692462e-18 PPC--0.165384522279159 EX_ocdcea_e--0.0131780495839964 4HBCOAH--1.72928955665997 EX_gm1lipa_e--0.00197670743759957 4PCPpp--0.00658902479199844 ETHSO3abcpp--0.00395341487519913 EX_for_e--0.0368985388351911 EX_bzalc_e--0.0171314644591959 SADT2--0.00658902479199844 PS180abcpp--0.0164725619799964 THRD_L--0.0177903669383959 EX_no3_e--0.0316273190015927 SERTRS--0.370303193310308 PA160abcpp--0.00658902479199841 P5CD--0.00658902479199843 APH140--0.00395341487519907 MDDEP2pp--0.0270150016471934 EX_4crsol_e--0.378868925539906 DASYN120--0.00197670743759953 GLCURt2rpp--0.0131780495839972 CYSLY3--0.00658902479199844 AACPS6--0.00790682975039812 MLDCP1Bpp--0.00658902479199843 FA120ACPHi--0.00658902479199844 TSULabcpp--0.00658902479199844 PS141abcpp--0.00658902479199847 EAR160x--0.00658902479199844 NTPP6--0.00658902479199844 AACPS9--0.00658902479199844 TAURabcpp--0.00658902479199844 AACPS5--0.00658902479199844 ATPM--0.00197670743759953 PGPP141pp--0.146935252861564 NADPC--0.00658902479199844 AACPS8--0.00395341487519904 MLDCP2App--0.08170390742078 ARGTRS--0.0289917090847929 EX_4hbald_e--0.00658902479199849 ACITL--0.00658902479199819 MCITS--0.0579834181695853 ILETRS--0.00197670743759954 OMCPPCI--0.0349218313975909 EX_pta_e--0.0461231735439885 PGLUSYN--0.00658902479199844 GTPDPK--0.00757737851079831 FMETTRS--2.45902405237379 MLTGY2pp--0.0270150016471934 EX_4hbz_e--0.032286221480792 EX_btoh_e--0.0046123173543989 PE180abcpp--0.0204259768551949 EX_ppoh_e--0.160442753685162 BWCOGDS1--0.00197670743759954 EX_elcr_e--0.00197670743759959 CYTBMQOR2pp--0.0131780495839967 MCCC--2.64545330086463e-17 BUTt2rpp--0.857232125438988 ACGAMT--0.0181198181779953 ACAFDOR--0.0112013421463973 SELNPS--0.0131780495839969 LDGUNPD+2.77555756156289e-17 PPCOAC--0.00593012231279877 SULRpp--0.0846689685771796 METTRS--0.0560067107319858 ACGS--0.00197670743759956 PGP160abcpp--0.100482628077976 HISTRS--0.00658902479199849 CMPDAi--1.30104260698261e-18 ASPT--0.0131780495839969 CA2abc1pp--0.0164725619799958 EX_pyr_e--0.00658902479199844 BUTSO3abcpp--0.00197670743759915 EAR121y--0.0698436627951828 LYSt3pp--0.62332174532305 BACCL--0.0131780495839969 CU2abcpp--0.0329451239599916 EAR140y--0.00658902479199844 ISETACabcpp+5.55111512312578e-17 FRNDPR2r--0.00658902479199847 GLUSx+0.00197670743759948 HYD4pp--0.00658902479199844 COBALTt4pp--0.0500765884191879 THRTRS--1.34613776500527 LIPAabctex--0.00658902479199843 FA160ACPHi--0.0349218313975912 EX_3mb_e--0.00593012231279861 EX_ac_e--0.00922463470879782 FESD1s--0.0220732330531948 GLYTRS--0.00658902479199843 FA161ACPHi--0.0065890247919984 NTPP7--0.00197670743759956 PGP161abcpp--0.00658902479199843 FA140ACPHi--0.00658902479199893 SERD_L--0.0494176859399879 VALTRS--0.505378201546276 CFAS180G--0.00658902479199844 SULFACabcpp--0.0177903669383961 PPPGO2--0.00658902479199844 TUNGSabcpp--0.00197670743759953 ACt4pp--0.0579834181695855 LEUTRS--0.0131780495839969 LADGMDH--0.00593012231279866 FADMQOR--0.0500765884191873 HCITS--0.00197670743759955 BUTt4pp--0.160442753685162 BWCOGDS2--0.0144958545423963 EX_ppa_e--1.2334654410621 MDDEP4pp--0.00197670743759915 EAR121x--0.00658902479199844 GDPDPK--0.00197670743759951 PGP181abcpp--0.00658902479199844 PPCK--0.0131780495839969 ACPS--0.00494176859399878 GART--0.00658902479199841 NTPP4--0.00593012231279855 NADPHQR3--0.046782076023188 EX_ile__L_e--0.00658902479199844 CTPS2--0.00658902479199843 APH161--0.0691847603159831 CDGS1+0.00593012231279855 HDR3--0.0467820760231882 EX_leu__L_e--0.00197670743759964 AGM3Pt2pp--5.55111512312578e-17 AGM4PA--0.00395341487519907 METOX2s--0.00658902479199843 NTPP1--0.162090009883159 2AGPEAT120--0.124532568568769 EX_ttdcea_e--0.00593012231279863 CYTBD2pp--0.868598193205184 U23GAATN--2.46693088212419 MLTGY1pp--0.00658902479199844 NTPP2--0.00658902479199845 PPA--0.00658902479199843 NTPP5--0.329451239599919 PA140abcpp--2.45902405237379 MLTGY3pp--0.149570862778363 2AGPGAT120--0.416426366854297 PA181abcpp--0.148911960299163 EX_hdca_e--0.229627514001145 MAN1PT2--0.00395341487519907 GOFUCR--0.00658902479199841 PPS--0.0263560991679934 EX_ibt_e--0.128485983443968 EX_ttdca_e--0.00658902479199845 MACPD--0.361078558601511 PS140abcpp--1.05687957663654 K2L4Aabctex--0.00856573222959797 CRO4abcpp--0.20393031731235 G1PTT--0.00658902479199845 FE3Gabcpp--0.401930512311901 PS160abcpp--0.341311484225515 PA120abcpp--0.0527121983359875 CYSTRS--0.110036714026373 TYRTRS--0.00658902479199857 AGMt2pp--0.00658902479199844 PEPCK_re--0.00658902479199841 ME2--0.0780799437851816 EX_hxan_e--0.449371490814289 PSSA180+1.87350135405495e-16 ACLS--0.0586423206487855 PROTRS--0.235557636313944 WCOS--0.113331226422373 NIT1b--5.55111512312578e-17 OIVD1r--0.00988353718799763 PIt7ipp--0.438829051147092 CFAS160E--0.319567702411923 DADNC--0.341640935465117 LCD--0.0289917090847928 ALATRS--0.00593012231279866 CDGR--0.00593012231279877 NTRIRfcpp--0.00197670743759956 PGP140abcpp--0.00856573222959797 CCGS--0.00197670743759953 GALURt2rpp--0.00658902479199843 APH120--0.197011841280751 UACMAMO--0.143640740465564 2AGPEAT141--0.00658902479199843 FE2t4pp--0.00197670743759952 PYRt4pp--0.00197670743759959 PGPP180pp--0.00658902479199844 NI2t4pp--0.492859054441479 CFAS180E--0.197670743759951 2AGPEAT180--0.00658902479199843 ZN2t4pp--0.113990128901572 PHETRS+2.85795692667179e-16 PTA2--0.00395341487519905 Kt3pp--2.77555756156289e-16 FACOAL50It2pp--0.0250382942095935 2OBUTt2ipp--0.00461231735439892 PPA_1pp--0.0546889057735864 GLNTRS--0.329451239599918 PA141abcpp+7.28583859910259e-17 SULR3--0.0131780495839969 FESD2s--2.77555756156289e-16 BCOALIG2--0.00395341487519907 N2OR--0.00197670743759952 3MBt4pp--0.0105424396671975 EAR161y--0.00593012231279855 NADH10--0.0375574413143908 ASPTRS--0.0046123173543989 PIuabcpp--0.0724792727119822 LYSTRS--0.00658902479199843 ADD--0.00593012231279859 ASR2--0.00593012231279855 GLYCLTDx--0.0250382942095938 ACNPLYS--0.00658902479199844 PPA2--0.0270150016471934 EX_4hba_e--0.00395341487519907 NAD_H2--0.108060006588773 EX_ddca_e--0.0270150016471933 EAR141x--0.00658902479199843 APH141--0.00395341487519907 METOX1s--0.304083494150726 ACPS1--0.00329451239599909 PGL--0.156159887570362 TRPTRS--0.171973547071158 UDPGLDC--2.77555756156289e-16 ACS2--0.36239636355991 PA161abcpp--0.451348198251889 CFAS160G--0.00790682975039829 NO3t2pp--2.77555756156289e-16 ACS--0.0105424396671975 EAR161x--0.0181198181779954 ALDD2x--0.00658902479199844 ALAALAD--0.00593012231279858 ASO4t4pp--1.72928955665997 GM1LIPA3ODAex--0.144958545423964 EX_hdcea_e--0.143640740465564 2AGPGAT141--0.424333196604695 PA180abcpp--0.0046123173543989 MG2uabcpp--0.00658902479199841 PUTA3--0.448053685855889 PS181abcpp--0.0309684165223925 EX_bz_e--0.00658902479199844 MSO3abcpp--0.00790682975039814 RDXR--0.00658902479199843 FA141ACPHi--0.0382163437935905 EX_val__L_e--0.00658902479199843 NTPP3--0.00658902479199819 SSALy--0.00658902479199847 GLUSz--0.0131780495839969 CBPS--0.354489533809513 PSSA141--0.367008680914309 PGSA141--8.23993651088983e-18 KAS14--2.77555756156289e-16 BCOALIG--0.0026356099167994 HKtpp--0.00658902479199845 NTPP8--0.00197670743759953 PGPP120pp--0.0527121983359872 ASNTRS--0.00395341487519905 ASO3t4pp--0.00658902479199844 PFK--0.169337937154358 EX_ocdca_e--0.00197670743759953 PPAt4pp--0.977319694724969 BIOMASS_Gm_GS15_core_79p20M
9	iAPECO1_1312.xml.gz	0.9824784386660093	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
10	iAT_PLT_636.xml.gz	0.0	
11	iB21_1397.xml.gz	0.975614511585121	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
12	iBWG_1329.xml.gz	0.982478438665996	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
13	iCHOv1.xml.gz	0.032368971602008176	+1.0 BIOMASS_cho
14	iE2348C_1286.xml.gz	0.9824784386660045	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
15	iEC042_1314.xml.gz	0.9824784386660076	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
16	iEC55989_1330.xml.gz	0.9824784386660053	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
17	iECABU_c1320.xml.gz	0.9824784386660061	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
18	iECBD_1354.xml.gz	0.9756145115851279	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
19	iECB_1328.xml.gz	0.9824784386660053	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
20	iECDH10B_1368.xml.gz	1.0374775435499894	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
21	iECDH1ME8569_1439.xml.gz	0.9824784386660063	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
22	iECD_1391.xml.gz	0.9756145115851302	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
23	iECED1_1282.xml.gz	0.9824634433768081	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
24	iECH74115_1262.xml.gz	0.9824784386660056	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
25	iECIAI1_1343.xml.gz	20.522225629794132	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
26	iECIAI39_1322.xml.gz	0.9828409640719067	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
27	iECNA114_1301.xml.gz	0.9824784386660054	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
28	iECO103_1326.xml.gz	0.9824784386660009	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
29	iECO111_1330.xml.gz	0.9824784386660097	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
30	iECO26_1355.xml.gz	0.9824784386660047	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
31	iECOK1_1307.xml.gz	0.982478438666005	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
32	iECP_1309.xml.gz	0.9824784386660097	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
33	iECS88_1305.xml.gz	0.9824784386660044	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
34	iECSE_1348.xml.gz	0.9824784386660065	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
35	iECSF_1327.xml.gz	0.9824784386660061	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
36	iECSP_1301.xml.gz	0.9824784386660057	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
37	iECUMN_1333.xml.gz	0.9826920127837688	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
38	iECW_1372.xml.gz	0.9824784386660034	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
39	iECs_1301.xml.gz	0.9824784386659988	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
40	iEKO11_1354.xml.gz	0.9824784386660069	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
41	iETEC_1333.xml.gz	0.9824784386659978	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
42	iEcDH1_1363.xml.gz	0.9824784386660064	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
43	iEcE24377_1341.xml.gz	0.9824784386660033	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
44	iEcHS_1320.xml.gz	0.9824784386660191	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
45	iEcSMS35_1347.xml.gz	0.9824784386660047	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
46	iEcolC_1368.xml.gz	0.98247843866601	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
47	iG2583_1286.xml.gz	0.9824784386660064	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
48	iHN637.xml.gz	0.22445454211988541	+1.0 BIOMASS_Cl_DSM_WT_46p666M1
49	iIT341.xml.gz	0.6928126931408465	+1.0 BIOMASS_HP_published
50	iJB785.xml.gz	0.053901867745781366	+1.0 BIOMASS__1
51	iJN678.xml.gz	0.06314983713171098	+1.0 BIOMASS_Ec_SynHetero
52	iJN746.xml.gz	1.4	+1.0 BIOMASS_KT_TEMP
53	iJO1366.xml.gz	0.9823718127269806	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
54	iJR904.xml.gz	0.9219480950504655	+1.0 BIOMASS_Ecoli
55	iLB1027_lipid.xml.gz	0.35960670777573084	+1.0 DM_BIOMASS_c
56	iLF82_1304.xml.gz	0.9824784386660073	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
57	iLJ478.xml.gz	0.22840679202946662	+1.0 BIOMASS_Ecoli_TM
58	iML1515.xml.gz	0.8769972144269699	+1.0 BIOMASS_Ec_iML1515_core_75p37M
59	iMM1415.xml.gz	1.3634279056507832	+1.0 BIOMASS_mm_1_no_glygln
60	iMM904.xml.gz	0.28786570370401704	+1.0 BIOMASS_SC5_notrace
61	iND750.xml.gz	0.09732337590378276	+1.0 BIOMASS_SC4_bal
62	iNF517.xml.gz	0.04263460544337193	+1.0 BIOMASS_LLA
63	iNJ661.xml.gz	0.052549801008501165	+1.0 BIOMASS_Mtb_9_60atp
64	iNRG857_1313.xml.gz	0.9824784386660081	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
65	iPC815.xml.gz	0.28355838121482724	+1.0 BIOMASS_37C
66	iRC1080.xml.gz	6.156851475936172	+1.0 BIOMASS_Chlamy_auto
67	iSB619.xml.gz	0.1580502916027894	+1.0 BIOMASS_SA_8a
68	iSBO_1134.xml.gz	0.399880124945336	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
69	iSDY_1059.xml.gz	0.93789031406188	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
70	iSFV_1184.xml.gz	0.8938577495747764	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
71	iSF_1195.xml.gz	0.9145918468942517	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
72	iSFxv_1172.xml.gz	0.8940890261581961	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
73	iSSON_1240.xml.gz	0.9826450753012037	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
74	iS_1188.xml.gz	0.8570768327332442	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
75	iSbBS512_1146.xml.gz	0.9828118163906584	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
76	iUMN146_1321.xml.gz	0.9824784386660088	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
77	iUMNK88_1353.xml.gz	0.9824784386660055	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
78	iUTI89_1310.xml.gz	0.9824784386660026	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
79	iWFL_1372.xml.gz	0.9824784386660061	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
80	iY75_1357.xml.gz	0.9824784386660078	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
81	iYL1228.xml.gz	1.0426374979773798	+1.0 BIOMASS_
82	iYO844.xml.gz	0.11796638932239906	+1.0 BIOMASS_BS_10
83	iZ_1308.xml.gz	0.9824784386660006	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
84	ic_1306.xml.gz	1.0319222801126815	+1.0 BIOMASS_Ec_iJO1366_core_53p95M
